group,function,value,sample_time_nanos,iteration_count
async-local,bounded 3,1,604981.0,18
async-local,bounded 3,1,1713181.0,36
async-local,bounded 3,1,2506774.0,54
async-local,bounded 3,1,4087618.0,72
async-local,bounded 3,1,4965428.0,90
async-local,bounded 3,1,5971799.0,108
async-local,bounded 3,1,7134541.0,126
async-local,bounded 3,1,9527102.0,144
async-local,bounded 3,1,8901844.0,162
async-local,bounded 3,1,10050601.0,180
async-local,bounded 3,1,11296539.0,198
async-local,bounded 3,1,11622558.0,216
async-local,bounded 3,1,13394458.0,234
async-local,bounded 3,1,14155380.0,252
async-local,bounded 3,1,15358028.0,270
async-local,bounded 3,1,17085106.0,288
async-local,bounded 3,1,17890138.0,306
async-local,bounded 3,1,17915808.0,324
async-local,bounded 3,1,20342441.0,342
async-local,bounded 3,1,20773658.0,360
async-local,bounded 3,1,21474627.0,378
async-local,bounded 3,1,22230139.0,396
async-local,bounded 3,1,22523568.0,414
async-local,bounded 3,1,25510037.0,432
async-local,bounded 3,1,24894437.0,450
async-local,bounded 3,1,26378922.0,468
async-local,bounded 3,1,28059151.0,486
async-local,bounded 3,1,28588159.0,504
async-local,bounded 3,1,29894851.0,522
async-local,bounded 3,1,30767412.0,540
async-local,bounded 3,1,32298192.0,558
async-local,bounded 3,1,32490732.0,576
async-local,bounded 3,1,34223750.0,594
async-local,bounded 3,1,32655560.0,612
async-local,bounded 3,1,36573230.0,630
async-local,bounded 3,1,37816714.0,648
async-local,bounded 3,1,39633148.0,666
async-local,bounded 3,1,38892083.0,684
async-local,bounded 3,1,39124367.0,702
async-local,bounded 3,1,41014619.0,720
async-local,bounded 3,1,41991464.0,738
async-local,bounded 3,1,42749942.0,756
async-local,bounded 3,1,43204271.0,774
async-local,bounded 3,1,46209535.0,792
async-local,bounded 3,1,47039057.0,810
async-local,bounded 3,1,46747091.0,828
async-local,bounded 3,1,48335358.0,846
async-local,bounded 3,1,49847464.0,864
async-local,bounded 3,1,48617426.0,882
async-local,bounded 3,1,50832796.0,900
async-local,bounded 3,1,52157230.0,918
async-local,bounded 3,1,54239651.0,936
async-local,bounded 3,1,54959467.0,954
async-local,bounded 3,1,56041578.0,972
async-local,bounded 3,1,56084148.0,990
async-local,bounded 3,1,58655302.0,1008
async-local,bounded 3,1,58476808.0,1026
async-local,bounded 3,1,57718221.0,1044
async-local,bounded 3,1,61086225.0,1062
async-local,bounded 3,1,60744697.0,1080
async-local,bounded 3,1,63633174.0,1098
async-local,bounded 3,1,61918470.0,1116
async-local,bounded 3,1,63766844.0,1134
async-local,bounded 3,1,64814391.0,1152
async-local,bounded 3,1,67969607.0,1170
async-local,bounded 3,1,68246273.0,1188
async-local,bounded 3,1,70796980.0,1206
async-local,bounded 3,1,70303889.0,1224
async-local,bounded 3,1,72185073.0,1242
async-local,bounded 3,1,73266364.0,1260
async-local,bounded 3,1,73467810.0,1278
async-local,bounded 3,1,73838573.0,1296
async-local,bounded 3,1,75790921.0,1314
async-local,bounded 3,1,76967400.0,1332
async-local,bounded 3,1,77187672.0,1350
async-local,bounded 3,1,78956266.0,1368
async-local,bounded 3,1,78407651.0,1386
async-local,bounded 3,1,80632098.0,1404
async-local,bounded 3,1,81944279.0,1422
async-local,bounded 3,1,82317206.0,1440
async-local,bounded 3,1,83903020.0,1458
async-local,bounded 3,1,82579947.0,1476
async-local,bounded 3,1,86492458.0,1494
async-local,bounded 3,1,86863842.0,1512
async-local,bounded 3,1,86470938.0,1530
async-local,bounded 3,1,87806955.0,1548
async-local,bounded 3,1,87615647.0,1566
async-local,bounded 3,1,93349591.0,1584
async-local,bounded 3,1,90677748.0,1602
async-local,bounded 3,1,95024812.0,1620
async-local,bounded 3,1,92299428.0,1638
async-local,bounded 3,1,94909075.0,1656
async-local,bounded 3,1,96781273.0,1674
async-local,bounded 3,1,97493194.0,1692
async-local,bounded 3,1,98175589.0,1710
async-local,bounded 3,1,98869816.0,1728
async-local,bounded 3,1,100024965.0,1746
async-local,bounded 3,1,100409012.0,1764
async-local,bounded 3,1,101310336.0,1782
async-local,bounded 3,1,104165521.0,1800
