group,function,value,sample_time_nanos,iteration_count
async-local,bounded 8,10000,5231693.0,1
async-local,bounded 8,10000,10273022.0,2
async-local,bounded 8,10000,13638709.0,3
async-local,bounded 8,10000,21324187.0,4
async-local,bounded 8,10000,27037390.0,5
async-local,bounded 8,10000,31855721.0,6
async-local,bounded 8,10000,36169209.0,7
async-local,bounded 8,10000,43234549.0,8
async-local,bounded 8,10000,44154177.0,9
async-local,bounded 8,10000,49741014.0,10
async-local,bounded 8,10000,58964555.0,11
async-local,bounded 8,10000,63993670.0,12
async-local,bounded 8,10000,66629245.0,13
async-local,bounded 8,10000,72615086.0,14
async-local,bounded 8,10000,76869915.0,15
async-local,bounded 8,10000,82375371.0,16
async-local,bounded 8,10000,84852377.0,17
async-local,bounded 8,10000,94394894.0,18
async-local,bounded 8,10000,98652198.0,19
async-local,bounded 8,10000,105031285.0,20
async-local,bounded 8,10000,106738354.0,21
async-local,bounded 8,10000,113294962.0,22
async-local,bounded 8,10000,120610950.0,23
async-local,bounded 8,10000,120010389.0,24
async-local,bounded 8,10000,129737200.0,25
async-local,bounded 8,10000,137776878.0,26
async-local,bounded 8,10000,133268727.0,27
async-local,bounded 8,10000,148625585.0,28
async-local,bounded 8,10000,151486511.0,29
async-local,bounded 8,10000,157966746.0,30
async-local,bounded 8,10000,162160029.0,31
async-local,bounded 8,10000,166506921.0,32
async-local,bounded 8,10000,172033876.0,33
async-local,bounded 8,10000,180448556.0,34
async-local,bounded 8,10000,175890100.0,35
async-local,bounded 8,10000,181205620.0,36
async-local,bounded 8,10000,186504400.0,37
async-local,bounded 8,10000,197585050.0,38
async-local,bounded 8,10000,200805105.0,39
async-local,bounded 8,10000,209533160.0,40
async-local,bounded 8,10000,208797516.0,41
async-local,bounded 8,10000,221136047.0,42
async-local,bounded 8,10000,224564131.0,43
async-local,bounded 8,10000,229488720.0,44
async-local,bounded 8,10000,224541649.0,45
async-local,bounded 8,10000,236151428.0,46
async-local,bounded 8,10000,245148866.0,47
async-local,bounded 8,10000,239925147.0,48
async-local,bounded 8,10000,260790988.0,49
async-local,bounded 8,10000,259774389.0,50
async-local,bounded 8,10000,259519432.0,51
async-local,bounded 8,10000,270447037.0,52
async-local,bounded 8,10000,268413568.0,53
async-local,bounded 8,10000,277289149.0,54
async-local,bounded 8,10000,290112835.0,55
async-local,bounded 8,10000,286284283.0,56
async-local,bounded 8,10000,290101665.0,57
async-local,bounded 8,10000,303070122.0,58
async-local,bounded 8,10000,302064783.0,59
async-local,bounded 8,10000,302687557.0,60
async-local,bounded 8,10000,310999645.0,61
async-local,bounded 8,10000,328231827.0,62
async-local,bounded 8,10000,331272578.0,63
async-local,bounded 8,10000,329165952.0,64
async-local,bounded 8,10000,338096957.0,65
async-local,bounded 8,10000,340831896.0,66
async-local,bounded 8,10000,344440879.0,67
async-local,bounded 8,10000,348028851.0,68
async-local,bounded 8,10000,352900091.0,69
async-local,bounded 8,10000,356945048.0,70
async-local,bounded 8,10000,361698378.0,71
async-local,bounded 8,10000,385742997.0,72
async-local,bounded 8,10000,380159035.0,73
async-local,bounded 8,10000,386502375.0,74
async-local,bounded 8,10000,388853488.0,75
async-local,bounded 8,10000,387767158.0,76
async-local,bounded 8,10000,392652124.0,77
async-local,bounded 8,10000,406824901.0,78
async-local,bounded 8,10000,409785883.0,79
async-local,bounded 8,10000,414549542.0,80
async-local,bounded 8,10000,424688052.0,81
async-local,bounded 8,10000,429242641.0,82
async-local,bounded 8,10000,424054058.0,83
async-local,bounded 8,10000,429546748.0,84
async-local,bounded 8,10000,446392879.0,85
async-local,bounded 8,10000,443243906.0,86
async-local,bounded 8,10000,442860309.0,87
async-local,bounded 8,10000,457028990.0,88
async-local,bounded 8,10000,453712373.0,89
async-local,bounded 8,10000,454607796.0,90
async-local,bounded 8,10000,470833708.0,91
async-local,bounded 8,10000,486707673.0,92
async-local,bounded 8,10000,470102351.0,93
async-local,bounded 8,10000,477085687.0,94
async-local,bounded 8,10000,486533807.0,95
async-local,bounded 8,10000,488881645.0,96
async-local,bounded 8,10000,502806027.0,97
async-local,bounded 8,10000,511689903.0,98
async-local,bounded 8,10000,510600649.0,99
async-local,bounded 8,10000,523680944.0,100
