group,function,value,sample_time_nanos,iteration_count
async-local,unbounded 16,100,1096769.0,4
async-local,unbounded 16,100,2243982.0,8
async-local,unbounded 16,100,4005332.0,12
async-local,unbounded 16,100,4865700.0,16
async-local,unbounded 16,100,5714245.0,20
async-local,unbounded 16,100,7324523.0,24
async-local,unbounded 16,100,8170825.0,28
async-local,unbounded 16,100,9807652.0,32
async-local,unbounded 16,100,11172141.0,36
async-local,unbounded 16,100,12636607.0,40
async-local,unbounded 16,100,13436972.0,44
async-local,unbounded 16,100,14222019.0,48
async-local,unbounded 16,100,15399929.0,52
async-local,unbounded 16,100,15662430.0,56
async-local,unbounded 16,100,17412309.0,60
async-local,unbounded 16,100,19297220.0,64
async-local,unbounded 16,100,21136846.0,68
async-local,unbounded 16,100,21561089.0,72
async-local,unbounded 16,100,23556778.0,76
async-local,unbounded 16,100,22760530.0,80
async-local,unbounded 16,100,24764484.0,84
async-local,unbounded 16,100,27345445.0,88
async-local,unbounded 16,100,26913577.0,92
async-local,unbounded 16,100,30006777.0,96
async-local,unbounded 16,100,30411584.0,100
async-local,unbounded 16,100,32028444.0,104
async-local,unbounded 16,100,31723694.0,108
async-local,unbounded 16,100,33702582.0,112
async-local,unbounded 16,100,35562225.0,116
async-local,unbounded 16,100,35748793.0,120
async-local,unbounded 16,100,36674092.0,124
async-local,unbounded 16,100,37587930.0,128
async-local,unbounded 16,100,40033488.0,132
async-local,unbounded 16,100,40258859.0,136
async-local,unbounded 16,100,42992375.0,140
async-local,unbounded 16,100,44212886.0,144
async-local,unbounded 16,100,44613735.0,148
async-local,unbounded 16,100,46751288.0,152
async-local,unbounded 16,100,47122691.0,156
async-local,unbounded 16,100,50365971.0,160
async-local,unbounded 16,100,50941215.0,164
async-local,unbounded 16,100,51561554.0,168
async-local,unbounded 16,100,51114459.0,172
async-local,unbounded 16,100,50387651.0,176
async-local,unbounded 16,100,53857414.0,180
async-local,unbounded 16,100,53297988.0,184
async-local,unbounded 16,100,57561072.0,188
async-local,unbounded 16,100,57451718.0,192
async-local,unbounded 16,100,56914904.0,196
async-local,unbounded 16,100,59871018.0,200
async-local,unbounded 16,100,59196978.0,204
async-local,unbounded 16,100,61771588.0,208
async-local,unbounded 16,100,64528819.0,212
async-local,unbounded 16,100,65325477.0,216
async-local,unbounded 16,100,67414470.0,220
async-local,unbounded 16,100,67116043.0,224
async-local,unbounded 16,100,68749764.0,228
async-local,unbounded 16,100,70486820.0,232
async-local,unbounded 16,100,70231963.0,236
async-local,unbounded 16,100,70737327.0,240
async-local,unbounded 16,100,71317241.0,244
async-local,unbounded 16,100,76016429.0,248
async-local,unbounded 16,100,74179789.0,252
async-local,unbounded 16,100,78909283.0,256
async-local,unbounded 16,100,79876260.0,260
async-local,unbounded 16,100,80798243.0,264
async-local,unbounded 16,100,79754773.0,268
async-local,unbounded 16,100,80367358.0,272
async-local,unbounded 16,100,83865102.0,276
async-local,unbounded 16,100,84566202.0,280
async-local,unbounded 16,100,83625865.0,284
async-local,unbounded 16,100,87666483.0,288
async-local,unbounded 16,100,88030083.0,292
async-local,unbounded 16,100,87860886.0,296
async-local,unbounded 16,100,90557244.0,300
async-local,unbounded 16,100,91033223.0,304
async-local,unbounded 16,100,92094857.0,308
async-local,unbounded 16,100,91875045.0,312
async-local,unbounded 16,100,95275378.0,316
async-local,unbounded 16,100,95384101.0,320
async-local,unbounded 16,100,93755187.0,324
async-local,unbounded 16,100,99406395.0,328
async-local,unbounded 16,100,97704505.0,332
async-local,unbounded 16,100,97681393.0,336
async-local,unbounded 16,100,103180546.0,340
async-local,unbounded 16,100,105450507.0,344
async-local,unbounded 16,100,100103207.0,348
async-local,unbounded 16,100,105749124.0,352
async-local,unbounded 16,100,106747630.0,356
async-local,unbounded 16,100,109502697.0,360
async-local,unbounded 16,100,110056872.0,364
async-local,unbounded 16,100,111114827.0,368
async-local,unbounded 16,100,111802783.0,372
async-local,unbounded 16,100,110730420.0,376
async-local,unbounded 16,100,114299617.0,380
async-local,unbounded 16,100,118523238.0,384
async-local,unbounded 16,100,115323920.0,388
async-local,unbounded 16,100,119486678.0,392
async-local,unbounded 16,100,116777858.0,396
async-local,unbounded 16,100,119383575.0,400
