group,function,value,sample_time_nanos,iteration_count
async-local,unbounded 4,10,1155909.0,13
async-local,unbounded 4,10,1929785.0,26
async-local,unbounded 4,10,3460856.0,39
async-local,unbounded 4,10,4395773.0,52
async-local,unbounded 4,10,5358751.0,65
async-local,unbounded 4,10,7470106.0,78
async-local,unbounded 4,10,8345451.0,91
async-local,unbounded 4,10,8659338.0,104
async-local,unbounded 4,10,10474489.0,117
async-local,unbounded 4,10,10356438.0,130
async-local,unbounded 4,10,11365444.0,143
async-local,unbounded 4,10,14326645.0,156
async-local,unbounded 4,10,12876627.0,169
async-local,unbounded 4,10,14896581.0,182
async-local,unbounded 4,10,16185608.0,195
async-local,unbounded 4,10,16385142.0,208
async-local,unbounded 4,10,17749441.0,221
async-local,unbounded 4,10,19004916.0,234
async-local,unbounded 4,10,20995655.0,247
async-local,unbounded 4,10,22306153.0,260
async-local,unbounded 4,10,23797971.0,273
async-local,unbounded 4,10,24072654.0,286
async-local,unbounded 4,10,23858343.0,299
async-local,unbounded 4,10,23390840.0,312
async-local,unbounded 4,10,24814189.0,325
async-local,unbounded 4,10,27074322.0,338
async-local,unbounded 4,10,29369500.0,351
async-local,unbounded 4,10,28363199.0,364
async-local,unbounded 4,10,29998705.0,377
async-local,unbounded 4,10,34045306.0,390
async-local,unbounded 4,10,33457627.0,403
async-local,unbounded 4,10,33101983.0,416
async-local,unbounded 4,10,34377556.0,429
async-local,unbounded 4,10,35530921.0,442
async-local,unbounded 4,10,35623163.0,455
async-local,unbounded 4,10,39033574.0,468
async-local,unbounded 4,10,39437539.0,481
async-local,unbounded 4,10,39007926.0,494
async-local,unbounded 4,10,40895954.0,507
async-local,unbounded 4,10,41956966.0,520
async-local,unbounded 4,10,43459954.0,533
async-local,unbounded 4,10,43640341.0,546
async-local,unbounded 4,10,45963562.0,559
async-local,unbounded 4,10,44386485.0,572
async-local,unbounded 4,10,45740835.0,585
async-local,unbounded 4,10,48508607.0,598
async-local,unbounded 4,10,49055398.0,611
async-local,unbounded 4,10,49889245.0,624
async-local,unbounded 4,10,51144120.0,637
async-local,unbounded 4,10,53137052.0,650
async-local,unbounded 4,10,52413251.0,663
async-local,unbounded 4,10,57246551.0,676
async-local,unbounded 4,10,56458539.0,689
async-local,unbounded 4,10,58433168.0,702
async-local,unbounded 4,10,60958215.0,715
async-local,unbounded 4,10,58861307.0,728
async-local,unbounded 4,10,60813996.0,741
async-local,unbounded 4,10,61463679.0,754
async-local,unbounded 4,10,63885614.0,767
async-local,unbounded 4,10,62638814.0,780
async-local,unbounded 4,10,62188784.0,793
async-local,unbounded 4,10,66776535.0,806
async-local,unbounded 4,10,67150824.0,819
async-local,unbounded 4,10,69143406.0,832
async-local,unbounded 4,10,70191384.0,845
async-local,unbounded 4,10,70599797.0,858
async-local,unbounded 4,10,68423212.0,871
async-local,unbounded 4,10,73797953.0,884
async-local,unbounded 4,10,69481959.0,897
async-local,unbounded 4,10,73734714.0,910
async-local,unbounded 4,10,74301965.0,923
async-local,unbounded 4,10,76109831.0,936
async-local,unbounded 4,10,76809699.0,949
async-local,unbounded 4,10,79275847.0,962
async-local,unbounded 4,10,79926112.0,975
async-local,unbounded 4,10,82373704.0,988
async-local,unbounded 4,10,81669149.0,1001
async-local,unbounded 4,10,83362371.0,1014
async-local,unbounded 4,10,86037308.0,1027
async-local,unbounded 4,10,84915102.0,1040
async-local,unbounded 4,10,85676164.0,1053
async-local,unbounded 4,10,91686063.0,1066
async-local,unbounded 4,10,87447844.0,1079
async-local,unbounded 4,10,87085687.0,1092
async-local,unbounded 4,10,92408992.0,1105
async-local,unbounded 4,10,87913394.0,1118
async-local,unbounded 4,10,91148097.0,1131
async-local,unbounded 4,10,95015362.0,1144
async-local,unbounded 4,10,90509995.0,1157
async-local,unbounded 4,10,90351969.0,1170
async-local,unbounded 4,10,89987218.0,1183
async-local,unbounded 4,10,95572784.0,1196
async-local,unbounded 4,10,97282507.0,1209
async-local,unbounded 4,10,100028307.0,1222
async-local,unbounded 4,10,101151316.0,1235
async-local,unbounded 4,10,104460337.0,1248
async-local,unbounded 4,10,101893593.0,1261
async-local,unbounded 4,10,105034380.0,1274
async-local,unbounded 4,10,104967083.0,1287
async-local,unbounded 4,10,101581660.0,1300
