group,function,value,sample_time_nanos,iteration_count
async-std,bounded 4,1,993407.0,13
async-std,bounded 4,1,1666616.0,26
async-std,bounded 4,1,3015597.0,39
async-std,bounded 4,1,4033491.0,52
async-std,bounded 4,1,4927552.0,65
async-std,bounded 4,1,6207786.0,78
async-std,bounded 4,1,7591763.0,91
async-std,bounded 4,1,7715755.0,104
async-std,bounded 4,1,8192837.0,117
async-std,bounded 4,1,10207694.0,130
async-std,bounded 4,1,10536419.0,143
async-std,bounded 4,1,11478580.0,156
async-std,bounded 4,1,13152680.0,169
async-std,bounded 4,1,14639229.0,182
async-std,bounded 4,1,14955591.0,195
async-std,bounded 4,1,16584997.0,208
async-std,bounded 4,1,18361369.0,221
async-std,bounded 4,1,15782456.0,234
async-std,bounded 4,1,19178826.0,247
async-std,bounded 4,1,20192782.0,260
async-std,bounded 4,1,21333014.0,273
async-std,bounded 4,1,22164919.0,286
async-std,bounded 4,1,22587209.0,299
async-std,bounded 4,1,24329496.0,312
async-std,bounded 4,1,26040525.0,325
async-std,bounded 4,1,25534569.0,338
async-std,bounded 4,1,26498532.0,351
async-std,bounded 4,1,27148567.0,364
async-std,bounded 4,1,29011820.0,377
async-std,bounded 4,1,30845428.0,390
async-std,bounded 4,1,30831962.0,403
async-std,bounded 4,1,32185294.0,416
async-std,bounded 4,1,32846710.0,429
async-std,bounded 4,1,33829507.0,442
async-std,bounded 4,1,35183429.0,455
async-std,bounded 4,1,36551577.0,468
async-std,bounded 4,1,36222180.0,481
async-std,bounded 4,1,36576042.0,494
async-std,bounded 4,1,38432242.0,507
async-std,bounded 4,1,41259298.0,520
async-std,bounded 4,1,40126480.0,533
async-std,bounded 4,1,42426480.0,546
async-std,bounded 4,1,43816578.0,559
async-std,bounded 4,1,44758200.0,572
async-std,bounded 4,1,44699680.0,585
async-std,bounded 4,1,45459681.0,598
async-std,bounded 4,1,47462755.0,611
async-std,bounded 4,1,49195905.0,624
async-std,bounded 4,1,49299309.0,637
async-std,bounded 4,1,52579271.0,650
async-std,bounded 4,1,50978959.0,663
async-std,bounded 4,1,52132065.0,676
async-std,bounded 4,1,53520582.0,689
async-std,bounded 4,1,54116544.0,702
async-std,bounded 4,1,55415865.0,715
async-std,bounded 4,1,58443956.0,728
async-std,bounded 4,1,58872287.0,741
async-std,bounded 4,1,58005435.0,754
async-std,bounded 4,1,60570121.0,767
async-std,bounded 4,1,60535887.0,780
async-std,bounded 4,1,59087248.0,793
async-std,bounded 4,1,63006947.0,806
async-std,bounded 4,1,62097967.0,819
async-std,bounded 4,1,65354516.0,832
async-std,bounded 4,1,65238007.0,845
async-std,bounded 4,1,65947594.0,858
async-std,bounded 4,1,68759542.0,871
async-std,bounded 4,1,68604421.0,884
async-std,bounded 4,1,69971497.0,897
async-std,bounded 4,1,69443940.0,910
async-std,bounded 4,1,72579073.0,923
async-std,bounded 4,1,71393887.0,936
async-std,bounded 4,1,73211574.0,949
async-std,bounded 4,1,72020860.0,962
async-std,bounded 4,1,74585624.0,975
async-std,bounded 4,1,77705176.0,988
async-std,bounded 4,1,78211773.0,1001
async-std,bounded 4,1,78037007.0,1014
async-std,bounded 4,1,78337998.0,1027
async-std,bounded 4,1,82425011.0,1040
async-std,bounded 4,1,81247528.0,1053
async-std,bounded 4,1,81712708.0,1066
async-std,bounded 4,1,82473852.0,1079
async-std,bounded 4,1,85283403.0,1092
async-std,bounded 4,1,87424848.0,1105
async-std,bounded 4,1,86278024.0,1118
async-std,bounded 4,1,87760825.0,1131
async-std,bounded 4,1,87289124.0,1144
async-std,bounded 4,1,90488134.0,1157
async-std,bounded 4,1,89410610.0,1170
async-std,bounded 4,1,91340889.0,1183
async-std,bounded 4,1,91688469.0,1196
async-std,bounded 4,1,93579645.0,1209
async-std,bounded 4,1,95774830.0,1222
async-std,bounded 4,1,95220402.0,1235
async-std,bounded 4,1,97833818.0,1248
async-std,bounded 4,1,95837535.0,1261
async-std,bounded 4,1,96530481.0,1274
async-std,bounded 4,1,98582368.0,1287
async-std,bounded 4,1,102918585.0,1300
