group,function,value,sample_time_nanos,iteration_count
async-std,bounded 4,10,1124903.0,13
async-std,bounded 4,10,1787762.0,26
async-std,bounded 4,10,3300440.0,39
async-std,bounded 4,10,4099214.0,52
async-std,bounded 4,10,4605110.0,65
async-std,bounded 4,10,6442394.0,78
async-std,bounded 4,10,6262027.0,91
async-std,bounded 4,10,8346605.0,104
async-std,bounded 4,10,10418757.0,117
async-std,bounded 4,10,10563459.0,130
async-std,bounded 4,10,11765877.0,143
async-std,bounded 4,10,12789952.0,156
async-std,bounded 4,10,13542699.0,169
async-std,bounded 4,10,14564569.0,182
async-std,bounded 4,10,17434465.0,195
async-std,bounded 4,10,17888504.0,208
async-std,bounded 4,10,18421821.0,221
async-std,bounded 4,10,19533911.0,234
async-std,bounded 4,10,21998808.0,247
async-std,bounded 4,10,20383930.0,260
async-std,bounded 4,10,21497812.0,273
async-std,bounded 4,10,22510796.0,286
async-std,bounded 4,10,21874976.0,299
async-std,bounded 4,10,24783625.0,312
async-std,bounded 4,10,27200753.0,325
async-std,bounded 4,10,27394086.0,338
async-std,bounded 4,10,28103902.0,351
async-std,bounded 4,10,27851380.0,364
async-std,bounded 4,10,30977215.0,377
async-std,bounded 4,10,31526481.0,390
async-std,bounded 4,10,32702058.0,403
async-std,bounded 4,10,31728519.0,416
async-std,bounded 4,10,37260641.0,429
async-std,bounded 4,10,36432162.0,442
async-std,bounded 4,10,37181182.0,455
async-std,bounded 4,10,38427353.0,468
async-std,bounded 4,10,38149003.0,481
async-std,bounded 4,10,40429265.0,494
async-std,bounded 4,10,42447719.0,507
async-std,bounded 4,10,43421700.0,520
async-std,bounded 4,10,45028123.0,533
async-std,bounded 4,10,43791270.0,546
async-std,bounded 4,10,45328865.0,559
async-std,bounded 4,10,48490005.0,572
async-std,bounded 4,10,49700899.0,585
async-std,bounded 4,10,48104665.0,598
async-std,bounded 4,10,48624838.0,611
async-std,bounded 4,10,49954442.0,624
async-std,bounded 4,10,48828558.0,637
async-std,bounded 4,10,51453907.0,650
async-std,bounded 4,10,53926219.0,663
async-std,bounded 4,10,55327319.0,676
async-std,bounded 4,10,55334891.0,689
async-std,bounded 4,10,55898987.0,702
async-std,bounded 4,10,55964059.0,715
async-std,bounded 4,10,61911978.0,728
async-std,bounded 4,10,59276321.0,741
async-std,bounded 4,10,59476364.0,754
async-std,bounded 4,10,63187403.0,767
async-std,bounded 4,10,63639959.0,780
async-std,bounded 4,10,65659866.0,793
async-std,bounded 4,10,61971108.0,806
async-std,bounded 4,10,66671477.0,819
async-std,bounded 4,10,65658763.0,832
async-std,bounded 4,10,68931031.0,845
async-std,bounded 4,10,71195325.0,858
async-std,bounded 4,10,71117479.0,871
async-std,bounded 4,10,69128370.0,884
async-std,bounded 4,10,71787361.0,897
async-std,bounded 4,10,74877569.0,910
async-std,bounded 4,10,71740914.0,923
async-std,bounded 4,10,73665052.0,936
async-std,bounded 4,10,79407077.0,949
async-std,bounded 4,10,76586984.0,962
async-std,bounded 4,10,81122383.0,975
async-std,bounded 4,10,80969668.0,988
async-std,bounded 4,10,82542859.0,1001
async-std,bounded 4,10,79948989.0,1014
async-std,bounded 4,10,84810158.0,1027
async-std,bounded 4,10,84828092.0,1040
async-std,bounded 4,10,84074873.0,1053
async-std,bounded 4,10,87608960.0,1066
async-std,bounded 4,10,90135915.0,1079
async-std,bounded 4,10,87394019.0,1092
async-std,bounded 4,10,91218969.0,1105
async-std,bounded 4,10,88416230.0,1118
async-std,bounded 4,10,88801319.0,1131
async-std,bounded 4,10,91303308.0,1144
async-std,bounded 4,10,91842575.0,1157
async-std,bounded 4,10,96604199.0,1170
async-std,bounded 4,10,94802109.0,1183
async-std,bounded 4,10,93843767.0,1196
async-std,bounded 4,10,99123308.0,1209
async-std,bounded 4,10,98644913.0,1222
async-std,bounded 4,10,103086527.0,1235
async-std,bounded 4,10,101052414.0,1248
async-std,bounded 4,10,102306598.0,1261
async-std,bounded 4,10,106073210.0,1274
async-std,bounded 4,10,102329932.0,1287
async-std,bounded 4,10,107136398.0,1300
