group,function,value,sample_time_nanos,iteration_count
async-std,unbounded 1,1000,1438361.0,4
async-std,unbounded 1,1000,2325921.0,8
async-std,unbounded 1,1000,3107362.0,12
async-std,unbounded 1,1000,5451778.0,16
async-std,unbounded 1,1000,6029208.0,20
async-std,unbounded 1,1000,7570320.0,24
async-std,unbounded 1,1000,9055579.0,28
async-std,unbounded 1,1000,10152080.0,32
async-std,unbounded 1,1000,11171026.0,36
async-std,unbounded 1,1000,12340954.0,40
async-std,unbounded 1,1000,13482049.0,44
async-std,unbounded 1,1000,14938483.0,48
async-std,unbounded 1,1000,15285081.0,52
async-std,unbounded 1,1000,16055092.0,56
async-std,unbounded 1,1000,18956840.0,60
async-std,unbounded 1,1000,19258855.0,64
async-std,unbounded 1,1000,21160141.0,68
async-std,unbounded 1,1000,22690224.0,72
async-std,unbounded 1,1000,23568877.0,76
async-std,unbounded 1,1000,24701776.0,80
async-std,unbounded 1,1000,25933440.0,84
async-std,unbounded 1,1000,26607821.0,88
async-std,unbounded 1,1000,28227130.0,92
async-std,unbounded 1,1000,29105083.0,96
async-std,unbounded 1,1000,31115103.0,100
async-std,unbounded 1,1000,32519279.0,104
async-std,unbounded 1,1000,33513929.0,108
async-std,unbounded 1,1000,33509562.0,112
async-std,unbounded 1,1000,33126375.0,116
async-std,unbounded 1,1000,37110307.0,120
async-std,unbounded 1,1000,37094497.0,124
async-std,unbounded 1,1000,40473397.0,128
async-std,unbounded 1,1000,41271952.0,132
async-std,unbounded 1,1000,41083198.0,136
async-std,unbounded 1,1000,41193485.0,140
async-std,unbounded 1,1000,44246486.0,144
async-std,unbounded 1,1000,46098319.0,148
async-std,unbounded 1,1000,48062493.0,152
async-std,unbounded 1,1000,46204799.0,156
async-std,unbounded 1,1000,49802529.0,160
async-std,unbounded 1,1000,50627662.0,164
async-std,unbounded 1,1000,51156411.0,168
async-std,unbounded 1,1000,51536933.0,172
async-std,unbounded 1,1000,54982277.0,176
async-std,unbounded 1,1000,56215926.0,180
async-std,unbounded 1,1000,56251741.0,184
async-std,unbounded 1,1000,57891669.0,188
async-std,unbounded 1,1000,57716602.0,192
async-std,unbounded 1,1000,61917269.0,196
async-std,unbounded 1,1000,64753575.0,200
async-std,unbounded 1,1000,63195952.0,204
async-std,unbounded 1,1000,64301089.0,208
async-std,unbounded 1,1000,67299708.0,212
async-std,unbounded 1,1000,67593506.0,216
async-std,unbounded 1,1000,67488060.0,220
async-std,unbounded 1,1000,68233805.0,224
async-std,unbounded 1,1000,70903448.0,228
async-std,unbounded 1,1000,71998246.0,232
async-std,unbounded 1,1000,71887079.0,236
async-std,unbounded 1,1000,72179525.0,240
async-std,unbounded 1,1000,77529824.0,244
async-std,unbounded 1,1000,78526137.0,248
async-std,unbounded 1,1000,75973652.0,252
async-std,unbounded 1,1000,77801212.0,256
async-std,unbounded 1,1000,78876471.0,260
async-std,unbounded 1,1000,79350058.0,264
async-std,unbounded 1,1000,83161318.0,268
async-std,unbounded 1,1000,85688434.0,272
async-std,unbounded 1,1000,84236078.0,276
async-std,unbounded 1,1000,86456971.0,280
async-std,unbounded 1,1000,87710447.0,284
async-std,unbounded 1,1000,88852522.0,288
async-std,unbounded 1,1000,88940567.0,292
async-std,unbounded 1,1000,88483933.0,296
async-std,unbounded 1,1000,91366225.0,300
async-std,unbounded 1,1000,91795949.0,304
async-std,unbounded 1,1000,94647682.0,308
async-std,unbounded 1,1000,96492623.0,312
async-std,unbounded 1,1000,97503485.0,316
async-std,unbounded 1,1000,98604294.0,320
async-std,unbounded 1,1000,98990276.0,324
async-std,unbounded 1,1000,99641834.0,328
async-std,unbounded 1,1000,101514728.0,332
async-std,unbounded 1,1000,101996539.0,336
async-std,unbounded 1,1000,104888899.0,340
async-std,unbounded 1,1000,104197777.0,344
async-std,unbounded 1,1000,107030033.0,348
async-std,unbounded 1,1000,106824379.0,352
async-std,unbounded 1,1000,108321349.0,356
async-std,unbounded 1,1000,112603960.0,360
async-std,unbounded 1,1000,109733260.0,364
async-std,unbounded 1,1000,113284884.0,368
async-std,unbounded 1,1000,121629242.0,372
async-std,unbounded 1,1000,113817550.0,376
async-std,unbounded 1,1000,116688070.0,380
async-std,unbounded 1,1000,115229111.0,384
async-std,unbounded 1,1000,122296209.0,388
async-std,unbounded 1,1000,121368465.0,392
async-std,unbounded 1,1000,120992060.0,396
async-std,unbounded 1,1000,123109261.0,400
