group,function,value,sample_time_nanos,iteration_count
async-std,unbounded 2,1000,1078848.0,3
async-std,unbounded 2,1000,2725287.0,6
async-std,unbounded 2,1000,2946721.0,9
async-std,unbounded 2,1000,5301695.0,12
async-std,unbounded 2,1000,5674402.0,15
async-std,unbounded 2,1000,8526846.0,18
async-std,unbounded 2,1000,7984292.0,21
async-std,unbounded 2,1000,10194425.0,24
async-std,unbounded 2,1000,10549760.0,27
async-std,unbounded 2,1000,12900367.0,30
async-std,unbounded 2,1000,15776054.0,33
async-std,unbounded 2,1000,15106883.0,36
async-std,unbounded 2,1000,15287089.0,39
async-std,unbounded 2,1000,16298311.0,42
async-std,unbounded 2,1000,19846867.0,45
async-std,unbounded 2,1000,19723226.0,48
async-std,unbounded 2,1000,21293673.0,51
async-std,unbounded 2,1000,22690525.0,54
async-std,unbounded 2,1000,23508976.0,57
async-std,unbounded 2,1000,26644290.0,60
async-std,unbounded 2,1000,24124757.0,63
async-std,unbounded 2,1000,25880712.0,66
async-std,unbounded 2,1000,29418768.0,69
async-std,unbounded 2,1000,30536528.0,72
async-std,unbounded 2,1000,32344399.0,75
async-std,unbounded 2,1000,34047134.0,78
async-std,unbounded 2,1000,34136842.0,81
async-std,unbounded 2,1000,35948559.0,84
async-std,unbounded 2,1000,37093261.0,87
async-std,unbounded 2,1000,38165607.0,90
async-std,unbounded 2,1000,38707670.0,93
async-std,unbounded 2,1000,41840689.0,96
async-std,unbounded 2,1000,44382953.0,99
async-std,unbounded 2,1000,42780256.0,102
async-std,unbounded 2,1000,44092220.0,105
async-std,unbounded 2,1000,43963740.0,108
async-std,unbounded 2,1000,49449339.0,111
async-std,unbounded 2,1000,48298837.0,114
async-std,unbounded 2,1000,48236159.0,117
async-std,unbounded 2,1000,50614438.0,120
async-std,unbounded 2,1000,49859206.0,123
async-std,unbounded 2,1000,50926852.0,126
async-std,unbounded 2,1000,53269893.0,129
async-std,unbounded 2,1000,56911625.0,132
async-std,unbounded 2,1000,55890925.0,135
async-std,unbounded 2,1000,55769589.0,138
async-std,unbounded 2,1000,59246422.0,141
async-std,unbounded 2,1000,59629557.0,144
async-std,unbounded 2,1000,63425115.0,147
async-std,unbounded 2,1000,64637383.0,150
async-std,unbounded 2,1000,64951261.0,153
async-std,unbounded 2,1000,66449782.0,156
async-std,unbounded 2,1000,65275216.0,159
async-std,unbounded 2,1000,64940119.0,162
async-std,unbounded 2,1000,63126186.0,165
async-std,unbounded 2,1000,67934859.0,168
async-std,unbounded 2,1000,70267382.0,171
async-std,unbounded 2,1000,70437661.0,174
async-std,unbounded 2,1000,69091583.0,177
async-std,unbounded 2,1000,74715330.0,180
async-std,unbounded 2,1000,75684232.0,183
async-std,unbounded 2,1000,80288853.0,186
async-std,unbounded 2,1000,76383009.0,189
async-std,unbounded 2,1000,77446689.0,192
async-std,unbounded 2,1000,85014472.0,195
async-std,unbounded 2,1000,82028297.0,198
async-std,unbounded 2,1000,84859742.0,201
async-std,unbounded 2,1000,85712276.0,204
async-std,unbounded 2,1000,85890249.0,207
async-std,unbounded 2,1000,86654008.0,210
async-std,unbounded 2,1000,86620474.0,213
async-std,unbounded 2,1000,88462981.0,216
async-std,unbounded 2,1000,88114900.0,219
async-std,unbounded 2,1000,89282172.0,222
async-std,unbounded 2,1000,95970943.0,225
async-std,unbounded 2,1000,97729891.0,228
async-std,unbounded 2,1000,94916700.0,231
async-std,unbounded 2,1000,96617681.0,234
async-std,unbounded 2,1000,98211552.0,237
async-std,unbounded 2,1000,99631276.0,240
async-std,unbounded 2,1000,107808640.0,243
async-std,unbounded 2,1000,106989498.0,246
async-std,unbounded 2,1000,101924756.0,249
async-std,unbounded 2,1000,103125251.0,252
async-std,unbounded 2,1000,107574512.0,255
async-std,unbounded 2,1000,106717740.0,258
async-std,unbounded 2,1000,106240868.0,261
async-std,unbounded 2,1000,110920830.0,264
async-std,unbounded 2,1000,113186397.0,267
async-std,unbounded 2,1000,109058417.0,270
async-std,unbounded 2,1000,115225029.0,273
async-std,unbounded 2,1000,119631831.0,276
async-std,unbounded 2,1000,117110105.0,279
async-std,unbounded 2,1000,118700530.0,282
async-std,unbounded 2,1000,116009837.0,285
async-std,unbounded 2,1000,122200424.0,288
async-std,unbounded 2,1000,122376504.0,291
async-std,unbounded 2,1000,121718813.0,294
async-std,unbounded 2,1000,122305811.0,297
async-std,unbounded 2,1000,123799365.0,300
