group,function,value,sample_time_nanos,iteration_count
rendezvous-local,rendezvous 16,10,1329093.0,4
rendezvous-local,rendezvous 16,10,2133475.0,8
rendezvous-local,rendezvous 16,10,3701314.0,12
rendezvous-local,rendezvous 16,10,5870886.0,16
rendezvous-local,rendezvous 16,10,6145079.0,20
rendezvous-local,rendezvous 16,10,6847190.0,24
rendezvous-local,rendezvous 16,10,9051798.0,28
rendezvous-local,rendezvous 16,10,10216133.0,32
rendezvous-local,rendezvous 16,10,10508850.0,36
rendezvous-local,rendezvous 16,10,12287793.0,40
rendezvous-local,rendezvous 16,10,13297008.0,44
rendezvous-local,rendezvous 16,10,14832517.0,48
rendezvous-local,rendezvous 16,10,15738468.0,52
rendezvous-local,rendezvous 16,10,16206864.0,56
rendezvous-local,rendezvous 16,10,19222587.0,60
rendezvous-local,rendezvous 16,10,19436377.0,64
rendezvous-local,rendezvous 16,10,20589229.0,68
rendezvous-local,rendezvous 16,10,22636284.0,72
rendezvous-local,rendezvous 16,10,24248586.0,76
rendezvous-local,rendezvous 16,10,24311763.0,80
rendezvous-local,rendezvous 16,10,25083305.0,84
rendezvous-local,rendezvous 16,10,25289661.0,88
rendezvous-local,rendezvous 16,10,29664713.0,92
rendezvous-local,rendezvous 16,10,29201788.0,96
rendezvous-local,rendezvous 16,10,30339793.0,100
rendezvous-local,rendezvous 16,10,32011526.0,104
rendezvous-local,rendezvous 16,10,34550268.0,108
rendezvous-local,rendezvous 16,10,33841404.0,112
rendezvous-local,rendezvous 16,10,36479793.0,116
rendezvous-local,rendezvous 16,10,37040951.0,120
rendezvous-local,rendezvous 16,10,37603562.0,124
rendezvous-local,rendezvous 16,10,39319127.0,128
rendezvous-local,rendezvous 16,10,40937219.0,132
rendezvous-local,rendezvous 16,10,41642696.0,136
rendezvous-local,rendezvous 16,10,42632626.0,140
rendezvous-local,rendezvous 16,10,44183723.0,144
rendezvous-local,rendezvous 16,10,45314817.0,148
rendezvous-local,rendezvous 16,10,45405496.0,152
rendezvous-local,rendezvous 16,10,48907407.0,156
rendezvous-local,rendezvous 16,10,49452696.0,160
rendezvous-local,rendezvous 16,10,51340753.0,164
rendezvous-local,rendezvous 16,10,50938380.0,168
rendezvous-local,rendezvous 16,10,53505706.0,172
rendezvous-local,rendezvous 16,10,53203402.0,176
rendezvous-local,rendezvous 16,10,54701891.0,180
rendezvous-local,rendezvous 16,10,56621567.0,184
rendezvous-local,rendezvous 16,10,56360969.0,188
rendezvous-local,rendezvous 16,10,60418279.0,192
rendezvous-local,rendezvous 16,10,61618871.0,196
rendezvous-local,rendezvous 16,10,60315567.0,200
rendezvous-local,rendezvous 16,10,64563172.0,204
rendezvous-local,rendezvous 16,10,62693969.0,208
rendezvous-local,rendezvous 16,10,65717668.0,212
rendezvous-local,rendezvous 16,10,66873738.0,216
rendezvous-local,rendezvous 16,10,68583652.0,220
rendezvous-local,rendezvous 16,10,68509042.0,224
rendezvous-local,rendezvous 16,10,69425624.0,228
rendezvous-local,rendezvous 16,10,71562306.0,232
rendezvous-local,rendezvous 16,10,73637351.0,236
rendezvous-local,rendezvous 16,10,74532514.0,240
rendezvous-local,rendezvous 16,10,77371506.0,244
rendezvous-local,rendezvous 16,10,74650614.0,248
rendezvous-local,rendezvous 16,10,79728570.0,252
rendezvous-local,rendezvous 16,10,79973557.0,256
rendezvous-local,rendezvous 16,10,80962525.0,260
rendezvous-local,rendezvous 16,10,80876574.0,264
rendezvous-local,rendezvous 16,10,82036811.0,268
rendezvous-local,rendezvous 16,10,84060291.0,272
rendezvous-local,rendezvous 16,10,86662221.0,276
rendezvous-local,rendezvous 16,10,86034139.0,280
rendezvous-local,rendezvous 16,10,87787753.0,284
rendezvous-local,rendezvous 16,10,88655085.0,288
rendezvous-local,rendezvous 16,10,89298236.0,292
rendezvous-local,rendezvous 16,10,90237510.0,296
rendezvous-local,rendezvous 16,10,92295364.0,300
rendezvous-local,rendezvous 16,10,94651796.0,304
rendezvous-local,rendezvous 16,10,96006396.0,308
rendezvous-local,rendezvous 16,10,96944478.0,312
rendezvous-local,rendezvous 16,10,99027519.0,316
rendezvous-local,rendezvous 16,10,101323358.0,320
rendezvous-local,rendezvous 16,10,99281153.0,324
rendezvous-local,rendezvous 16,10,102208130.0,328
rendezvous-local,rendezvous 16,10,102869727.0,332
rendezvous-local,rendezvous 16,10,106436198.0,336
rendezvous-local,rendezvous 16,10,104019525.0,340
rendezvous-local,rendezvous 16,10,106902279.0,344
rendezvous-local,rendezvous 16,10,107513811.0,348
rendezvous-local,rendezvous 16,10,109425292.0,352
rendezvous-local,rendezvous 16,10,110991327.0,356
rendezvous-local,rendezvous 16,10,110424728.0,360
rendezvous-local,rendezvous 16,10,111973702.0,364
rendezvous-local,rendezvous 16,10,111395102.0,368
rendezvous-local,rendezvous 16,10,115472608.0,372
rendezvous-local,rendezvous 16,10,115706836.0,376
rendezvous-local,rendezvous 16,10,115390565.0,380
rendezvous-local,rendezvous 16,10,120170483.0,384
rendezvous-local,rendezvous 16,10,120839883.0,388
rendezvous-local,rendezvous 16,10,122964122.0,392
rendezvous-local,rendezvous 16,10,122863734.0,396
rendezvous-local,rendezvous 16,10,122710338.0,400
