group,function,value,sample_time_nanos,iteration_count
rendezvous-std,rendezvous 1,10,923527.0,9
rendezvous-std,rendezvous 1,10,1881267.0,18
rendezvous-std,rendezvous 1,10,3965624.0,27
rendezvous-std,rendezvous 1,10,4325136.0,36
rendezvous-std,rendezvous 1,10,5797709.0,45
rendezvous-std,rendezvous 1,10,5473101.0,54
rendezvous-std,rendezvous 1,10,7342687.0,63
rendezvous-std,rendezvous 1,10,8186364.0,72
rendezvous-std,rendezvous 1,10,9837030.0,81
rendezvous-std,rendezvous 1,10,8228222.0,90
rendezvous-std,rendezvous 1,10,9209938.0,99
rendezvous-std,rendezvous 1,10,10662533.0,108
rendezvous-std,rendezvous 1,10,11112374.0,117
rendezvous-std,rendezvous 1,10,14663724.0,126
rendezvous-std,rendezvous 1,10,15644918.0,135
rendezvous-std,rendezvous 1,10,15655848.0,144
rendezvous-std,rendezvous 1,10,18037000.0,153
rendezvous-std,rendezvous 1,10,19634716.0,162
rendezvous-std,rendezvous 1,10,21101458.0,171
rendezvous-std,rendezvous 1,10,19728653.0,180
rendezvous-std,rendezvous 1,10,21354731.0,189
rendezvous-std,rendezvous 1,10,22209150.0,198
rendezvous-std,rendezvous 1,10,24340243.0,207
rendezvous-std,rendezvous 1,10,20551120.0,216
rendezvous-std,rendezvous 1,10,22459216.0,225
rendezvous-std,rendezvous 1,10,24278698.0,234
rendezvous-std,rendezvous 1,10,27616959.0,243
rendezvous-std,rendezvous 1,10,31854301.0,252
rendezvous-std,rendezvous 1,10,29685065.0,261
rendezvous-std,rendezvous 1,10,33462146.0,270
rendezvous-std,rendezvous 1,10,32811591.0,279
rendezvous-std,rendezvous 1,10,33037622.0,288
rendezvous-std,rendezvous 1,10,33693009.0,297
rendezvous-std,rendezvous 1,10,34535693.0,306
rendezvous-std,rendezvous 1,10,33462016.0,315
rendezvous-std,rendezvous 1,10,33378671.0,324
rendezvous-std,rendezvous 1,10,33918059.0,333
rendezvous-std,rendezvous 1,10,33948015.0,342
rendezvous-std,rendezvous 1,10,42951897.0,351
rendezvous-std,rendezvous 1,10,41135060.0,360
rendezvous-std,rendezvous 1,10,45382992.0,369
rendezvous-std,rendezvous 1,10,44368777.0,378
rendezvous-std,rendezvous 1,10,47870703.0,387
rendezvous-std,rendezvous 1,10,47305616.0,396
rendezvous-std,rendezvous 1,10,41725715.0,405
rendezvous-std,rendezvous 1,10,51562675.0,414
rendezvous-std,rendezvous 1,10,45517704.0,423
rendezvous-std,rendezvous 1,10,39672858.0,432
rendezvous-std,rendezvous 1,10,49057622.0,441
rendezvous-std,rendezvous 1,10,46755228.0,450
rendezvous-std,rendezvous 1,10,47898445.0,459
rendezvous-std,rendezvous 1,10,51015161.0,468
rendezvous-std,rendezvous 1,10,54472926.0,477
rendezvous-std,rendezvous 1,10,55212368.0,486
rendezvous-std,rendezvous 1,10,57372146.0,495
rendezvous-std,rendezvous 1,10,58789776.0,504
rendezvous-std,rendezvous 1,10,54799256.0,513
rendezvous-std,rendezvous 1,10,56853426.0,522
rendezvous-std,rendezvous 1,10,65382049.0,531
rendezvous-std,rendezvous 1,10,60435121.0,540
rendezvous-std,rendezvous 1,10,62731485.0,549
rendezvous-std,rendezvous 1,10,66710593.0,558
rendezvous-std,rendezvous 1,10,65878709.0,567
rendezvous-std,rendezvous 1,10,70976989.0,576
rendezvous-std,rendezvous 1,10,58799153.0,585
rendezvous-std,rendezvous 1,10,71665185.0,594
rendezvous-std,rendezvous 1,10,70862776.0,603
rendezvous-std,rendezvous 1,10,71552896.0,612
rendezvous-std,rendezvous 1,10,67382279.0,621
rendezvous-std,rendezvous 1,10,71246392.0,630
rendezvous-std,rendezvous 1,10,71120468.0,639
rendezvous-std,rendezvous 1,10,76967167.0,648
rendezvous-std,rendezvous 1,10,74823019.0,657
rendezvous-std,rendezvous 1,10,78631669.0,666
rendezvous-std,rendezvous 1,10,80962607.0,675
rendezvous-std,rendezvous 1,10,80062844.0,684
rendezvous-std,rendezvous 1,10,78133148.0,693
rendezvous-std,rendezvous 1,10,84190773.0,702
rendezvous-std,rendezvous 1,10,81893076.0,711
rendezvous-std,rendezvous 1,10,76582198.0,720
rendezvous-std,rendezvous 1,10,79300649.0,729
rendezvous-std,rendezvous 1,10,77137847.0,738
rendezvous-std,rendezvous 1,10,79472872.0,747
rendezvous-std,rendezvous 1,10,89085412.0,756
rendezvous-std,rendezvous 1,10,87974755.0,765
rendezvous-std,rendezvous 1,10,86334179.0,774
rendezvous-std,rendezvous 1,10,83996549.0,783
rendezvous-std,rendezvous 1,10,85817102.0,792
rendezvous-std,rendezvous 1,10,87861074.0,801
rendezvous-std,rendezvous 1,10,90939869.0,810
rendezvous-std,rendezvous 1,10,87908742.0,819
rendezvous-std,rendezvous 1,10,90777516.0,828
rendezvous-std,rendezvous 1,10,94130183.0,837
rendezvous-std,rendezvous 1,10,93337582.0,846
rendezvous-std,rendezvous 1,10,95423341.0,855
rendezvous-std,rendezvous 1,10,103733897.0,864
rendezvous-std,rendezvous 1,10,101295228.0,873
rendezvous-std,rendezvous 1,10,100423919.0,882
rendezvous-std,rendezvous 1,10,99128357.0,891
rendezvous-std,rendezvous 1,10,100865975.0,900
