group,function,value,sample_time_nanos,iteration_count
rendezvous-std,rendezvous 4,10000,93365401.0,1
rendezvous-std,rendezvous 4,10000,190545530.0,2
rendezvous-std,rendezvous 4,10000,291500914.0,3
rendezvous-std,rendezvous 4,10000,389258182.0,4
rendezvous-std,rendezvous 4,10000,479404957.0,5
rendezvous-std,rendezvous 4,10000,583449485.0,6
rendezvous-std,rendezvous 4,10000,683581932.0,7
rendezvous-std,rendezvous 4,10000,739489267.0,8
rendezvous-std,rendezvous 4,10000,859513160.0,9
rendezvous-std,rendezvous 4,10000,931900312.0,10
rendezvous-std,rendezvous 4,10000,1054851445.0,11
rendezvous-std,rendezvous 4,10000,1159676221.0,12
rendezvous-std,rendezvous 4,10000,1255646941.0,13
rendezvous-std,rendezvous 4,10000,1336421750.0,14
rendezvous-std,rendezvous 4,10000,1435489186.0,15
rendezvous-std,rendezvous 4,10000,1535746276.0,16
rendezvous-std,rendezvous 4,10000,1660769180.0,17
rendezvous-std,rendezvous 4,10000,1717359671.0,18
rendezvous-std,rendezvous 4,10000,1799560414.0,19
rendezvous-std,rendezvous 4,10000,1902740305.0,20
rendezvous-std,rendezvous 4,10000,1986750442.0,21
rendezvous-std,rendezvous 4,10000,2115565401.0,22
rendezvous-std,rendezvous 4,10000,2209815754.0,23
rendezvous-std,rendezvous 4,10000,2291550918.0,24
rendezvous-std,rendezvous 4,10000,2363990118.0,25
rendezvous-std,rendezvous 4,10000,2490570973.0,26
rendezvous-std,rendezvous 4,10000,2550595431.0,27
rendezvous-std,rendezvous 4,10000,2675215201.0,28
rendezvous-std,rendezvous 4,10000,2776512603.0,29
rendezvous-std,rendezvous 4,10000,2901312940.0,30
rendezvous-std,rendezvous 4,10000,2943025495.0,31
rendezvous-std,rendezvous 4,10000,3083306713.0,32
rendezvous-std,rendezvous 4,10000,3162287798.0,33
rendezvous-std,rendezvous 4,10000,3270045825.0,34
rendezvous-std,rendezvous 4,10000,3340452235.0,35
rendezvous-std,rendezvous 4,10000,3457473642.0,36
rendezvous-std,rendezvous 4,10000,3496003189.0,37
rendezvous-std,rendezvous 4,10000,3657618247.0,38
rendezvous-std,rendezvous 4,10000,3735686827.0,39
rendezvous-std,rendezvous 4,10000,3830593745.0,40
rendezvous-std,rendezvous 4,10000,3888263851.0,41
rendezvous-std,rendezvous 4,10000,4014972072.0,42
rendezvous-std,rendezvous 4,10000,4112061188.0,43
rendezvous-std,rendezvous 4,10000,4200924189.0,44
rendezvous-std,rendezvous 4,10000,4314406584.0,45
rendezvous-std,rendezvous 4,10000,4373262345.0,46
rendezvous-std,rendezvous 4,10000,4594075004.0,47
rendezvous-std,rendezvous 4,10000,4553101238.0,48
rendezvous-std,rendezvous 4,10000,4700212698.0,49
rendezvous-std,rendezvous 4,10000,4815890333.0,50
rendezvous-std,rendezvous 4,10000,4894476197.0,51
rendezvous-std,rendezvous 4,10000,4940985244.0,52
rendezvous-std,rendezvous 4,10000,5111802998.0,53
