group,function,value,sample_time_nanos,iteration_count
sequential-local,bounded,10,1086239.0,549
sequential-local,bounded,10,2121844.0,1098
sequential-local,bounded,10,2952155.0,1647
sequential-local,bounded,10,3938187.0,2196
sequential-local,bounded,10,4931592.0,2745
sequential-local,bounded,10,5905061.0,3294
sequential-local,bounded,10,6892605.0,3843
sequential-local,bounded,10,8058594.0,4392
sequential-local,bounded,10,8857607.0,4941
sequential-local,bounded,10,9849189.0,5490
sequential-local,bounded,10,10826465.0,6039
sequential-local,bounded,10,11813317.0,6588
sequential-local,bounded,10,12792778.0,7137
sequential-local,bounded,10,13924632.0,7686
sequential-local,bounded,10,14956901.0,8235
sequential-local,bounded,10,15747998.0,8784
sequential-local,bounded,10,16937350.0,9333
sequential-local,bounded,10,17715213.0,9882
sequential-local,bounded,10,18700283.0,10431
sequential-local,bounded,10,19831546.0,10980
sequential-local,bounded,10,20665925.0,11529
sequential-local,bounded,10,21646267.0,12078
sequential-local,bounded,10,22632319.0,12627
sequential-local,bounded,10,23777077.0,13176
sequential-local,bounded,10,24561342.0,13725
sequential-local,bounded,10,26002935.0,14274
sequential-local,bounded,10,26768565.0,14823
sequential-local,bounded,10,27722536.0,15372
sequential-local,bounded,10,28541718.0,15921
sequential-local,bounded,10,29519484.0,16470
sequential-local,bounded,10,30505877.0,17019
sequential-local,bounded,10,31660143.0,17568
sequential-local,bounded,10,32478771.0,18117
sequential-local,bounded,10,33368835.0,18666
sequential-local,bounded,10,34227098.0,19215
sequential-local,bounded,10,35217428.0,19764
sequential-local,bounded,10,36447085.0,20313
sequential-local,bounded,10,37581544.0,20862
sequential-local,bounded,10,38378133.0,21411
sequential-local,bounded,10,39563827.0,21960
sequential-local,bounded,10,40600985.0,22509
sequential-local,bounded,10,41494575.0,23058
sequential-local,bounded,10,42685258.0,23607
sequential-local,bounded,10,43292092.0,24156
sequential-local,bounded,10,44371047.0,24705
sequential-local,bounded,10,45281949.0,25254
sequential-local,bounded,10,45669454.0,25803
sequential-local,bounded,10,46577299.0,26352
sequential-local,bounded,10,47564092.0,26901
sequential-local,bounded,10,49601468.0,27450
sequential-local,bounded,10,50340378.0,27999
sequential-local,bounded,10,51437819.0,28548
sequential-local,bounded,10,52353480.0,29097
sequential-local,bounded,10,53223614.0,29646
sequential-local,bounded,10,54375136.0,30195
sequential-local,bounded,10,55126960.0,30744
sequential-local,bounded,10,56458087.0,31293
sequential-local,bounded,10,57491527.0,31842
sequential-local,bounded,10,58414722.0,32391
sequential-local,bounded,10,58938400.0,32940
sequential-local,bounded,10,60226856.0,33489
sequential-local,bounded,10,61486160.0,34038
sequential-local,bounded,10,61965805.0,34587
sequential-local,bounded,10,63300720.0,35136
sequential-local,bounded,10,64194238.0,35685
sequential-local,bounded,10,65069013.0,36234
sequential-local,bounded,10,65263125.0,36783
sequential-local,bounded,10,66765131.0,37332
sequential-local,bounded,10,68514449.0,37881
sequential-local,bounded,10,69003723.0,38430
sequential-local,bounded,10,70269457.0,38979
sequential-local,bounded,10,70858136.0,39528
sequential-local,bounded,10,72198311.0,40077
sequential-local,bounded,10,73212054.0,40626
sequential-local,bounded,10,74007460.0,41175
sequential-local,bounded,10,75284496.0,41724
sequential-local,bounded,10,75942585.0,42273
sequential-local,bounded,10,77087234.0,42822
sequential-local,bounded,10,79729309.0,43371
sequential-local,bounded,10,79176105.0,43920
sequential-local,bounded,10,79298704.0,44469
sequential-local,bounded,10,80957823.0,45018
sequential-local,bounded,10,81832146.0,45567
sequential-local,bounded,10,82841412.0,46116
sequential-local,bounded,10,84014875.0,46665
sequential-local,bounded,10,84959508.0,47214
sequential-local,bounded,10,85862466.0,47763
sequential-local,bounded,10,86768428.0,48312
sequential-local,bounded,10,87984761.0,48861
sequential-local,bounded,10,88891343.0,49410
sequential-local,bounded,10,89910707.0,49959
sequential-local,bounded,10,90527711.0,50508
sequential-local,bounded,10,91426379.0,51057
sequential-local,bounded,10,92753679.0,51606
sequential-local,bounded,10,93675351.0,52155
sequential-local,bounded,10,93719163.0,52704
sequential-local,bounded,10,95811060.0,53253
sequential-local,bounded,10,96610084.0,53802
sequential-local,bounded,10,97038323.0,54351
sequential-local,bounded,10,98357366.0,54900
