group,function,value,sample_time_nanos,iteration_count
sequential-local,bounded,10000,1590481.0,1
sequential-local,bounded,10000,3016204.0,2
sequential-local,bounded,10000,4338194.0,3
sequential-local,bounded,10000,5862231.0,4
sequential-local,bounded,10000,7381840.0,5
sequential-local,bounded,10000,8893022.0,6
sequential-local,bounded,10000,10199484.0,7
sequential-local,bounded,10000,11946537.0,8
sequential-local,bounded,10000,13305736.0,9
sequential-local,bounded,10000,14536845.0,10
sequential-local,bounded,10000,15977947.0,11
sequential-local,bounded,10000,17436953.0,12
sequential-local,bounded,10000,18935172.0,13
sequential-local,bounded,10000,20369572.0,14
sequential-local,bounded,10000,21846470.0,15
sequential-local,bounded,10000,23395344.0,16
sequential-local,bounded,10000,25090811.0,17
sequential-local,bounded,10000,26629816.0,18
sequential-local,bounded,10000,28280879.0,19
sequential-local,bounded,10000,29204276.0,20
sequential-local,bounded,10000,30588381.0,21
sequential-local,bounded,10000,32122556.0,22
sequential-local,bounded,10000,33481756.0,23
sequential-local,bounded,10000,34930411.0,24
sequential-local,bounded,10000,36523327.0,25
sequential-local,bounded,10000,38091898.0,26
sequential-local,bounded,10000,39688951.0,27
sequential-local,bounded,10000,40991925.0,28
sequential-local,bounded,10000,42301992.0,29
sequential-local,bounded,10000,43884058.0,30
sequential-local,bounded,10000,45236925.0,31
sequential-local,bounded,10000,46579493.0,32
sequential-local,bounded,10000,48324934.0,33
sequential-local,bounded,10000,49716002.0,34
sequential-local,bounded,10000,50930932.0,35
sequential-local,bounded,10000,52357436.0,36
sequential-local,bounded,10000,54118877.0,37
sequential-local,bounded,10000,55598741.0,38
sequential-local,bounded,10000,56785198.0,39
sequential-local,bounded,10000,58256326.0,40
sequential-local,bounded,10000,60021443.0,41
sequential-local,bounded,10000,61781993.0,42
sequential-local,bounded,10000,62874302.0,43
sequential-local,bounded,10000,64070867.0,44
sequential-local,bounded,10000,65568936.0,45
sequential-local,bounded,10000,67485626.0,46
sequential-local,bounded,10000,68354660.0,47
sequential-local,bounded,10000,70303400.0,48
sequential-local,bounded,10000,71573583.0,49
sequential-local,bounded,10000,73125863.0,50
sequential-local,bounded,10000,74307852.0,51
sequential-local,bounded,10000,75717233.0,52
sequential-local,bounded,10000,78045333.0,53
sequential-local,bounded,10000,78679106.0,54
sequential-local,bounded,10000,80415381.0,55
sequential-local,bounded,10000,83257098.0,56
sequential-local,bounded,10000,83053849.0,57
sequential-local,bounded,10000,84385316.0,58
sequential-local,bounded,10000,86403427.0,59
sequential-local,bounded,10000,87578651.0,60
sequential-local,bounded,10000,88837513.0,61
sequential-local,bounded,10000,90828272.0,62
sequential-local,bounded,10000,91634487.0,63
sequential-local,bounded,10000,93789543.0,64
sequential-local,bounded,10000,94825529.0,65
sequential-local,bounded,10000,96163579.0,66
sequential-local,bounded,10000,97500676.0,67
sequential-local,bounded,10000,98920519.0,68
sequential-local,bounded,10000,101494216.0,69
sequential-local,bounded,10000,101942022.0,70
sequential-local,bounded,10000,103435944.0,71
sequential-local,bounded,10000,104828434.0,72
sequential-local,bounded,10000,106761916.0,73
sequential-local,bounded,10000,108966435.0,74
sequential-local,bounded,10000,109218135.0,75
sequential-local,bounded,10000,110773261.0,76
sequential-local,bounded,10000,112058972.0,77
sequential-local,bounded,10000,113556049.0,78
sequential-local,bounded,10000,115088972.0,79
sequential-local,bounded,10000,116290857.0,80
sequential-local,bounded,10000,118098453.0,81
sequential-local,bounded,10000,119908856.0,82
sequential-local,bounded,10000,121286659.0,83
sequential-local,bounded,10000,122910995.0,84
sequential-local,bounded,10000,124766380.0,85
sequential-local,bounded,10000,125721454.0,86
sequential-local,bounded,10000,127331121.0,87
sequential-local,bounded,10000,128201908.0,88
sequential-local,bounded,10000,130088733.0,89
sequential-local,bounded,10000,131151929.0,90
sequential-local,bounded,10000,133152526.0,91
sequential-local,bounded,10000,134174915.0,92
sequential-local,bounded,10000,137251804.0,93
sequential-local,bounded,10000,136965789.0,94
sequential-local,bounded,10000,138489885.0,95
sequential-local,bounded,10000,140064608.0,96
sequential-local,bounded,10000,141781805.0,97
sequential-local,bounded,10000,143682175.0,98
sequential-local,bounded,10000,143177031.0,99
sequential-local,bounded,10000,145954882.0,100
