group,function,value,sample_time_nanos,iteration_count
sequential-local,unbounded,1,987274.0,2287
sequential-local,unbounded,1,1978857.0,4574
sequential-local,unbounded,1,2959138.0,6861
sequential-local,unbounded,1,3950810.0,9148
sequential-local,unbounded,1,4960247.0,11435
sequential-local,unbounded,1,5929537.0,13722
sequential-local,unbounded,1,6919416.0,16009
sequential-local,unbounded,1,7905899.0,18296
sequential-local,unbounded,1,9084029.0,20583
sequential-local,unbounded,1,10190557.0,22870
sequential-local,unbounded,1,10918216.0,25157
sequential-local,unbounded,1,12133346.0,27444
sequential-local,unbounded,1,12907282.0,29731
sequential-local,unbounded,1,13898202.0,32018
sequential-local,unbounded,1,14844611.0,34305
sequential-local,unbounded,1,15841954.0,36592
sequential-local,unbounded,1,17042306.0,38879
sequential-local,unbounded,1,17814288.0,41166
sequential-local,unbounded,1,18797776.0,43453
sequential-local,unbounded,1,19791661.0,45740
sequential-local,unbounded,1,21015138.0,48027
sequential-local,unbounded,1,21791978.0,50314
sequential-local,unbounded,1,22778130.0,52601
sequential-local,unbounded,1,23764585.0,54888
sequential-local,unbounded,1,24983120.0,57175
sequential-local,unbounded,1,25732379.0,59462
sequential-local,unbounded,1,26728630.0,61749
sequential-local,unbounded,1,27706078.0,64036
sequential-local,unbounded,1,28686949.0,66323
sequential-local,unbounded,1,29693339.0,68610
sequential-local,unbounded,1,30683148.0,70897
sequential-local,unbounded,1,31666385.0,73184
sequential-local,unbounded,1,33162560.0,75471
sequential-local,unbounded,1,34147971.0,77758
sequential-local,unbounded,1,34638156.0,80045
sequential-local,unbounded,1,35812230.0,82332
sequential-local,unbounded,1,36634125.0,84619
sequential-local,unbounded,1,37842813.0,86906
sequential-local,unbounded,1,38600398.0,89193
sequential-local,unbounded,1,39815858.0,91480
sequential-local,unbounded,1,40576199.0,93767
sequential-local,unbounded,1,42098914.0,96054
sequential-local,unbounded,1,42570204.0,98341
sequential-local,unbounded,1,43548761.0,100628
sequential-local,unbounded,1,44525808.0,102915
sequential-local,unbounded,1,47615328.0,105202
sequential-local,unbounded,1,46726288.0,107489
sequential-local,unbounded,1,47502368.0,109776
sequential-local,unbounded,1,48489271.0,112063
sequential-local,unbounded,1,49604635.0,114350
sequential-local,unbounded,1,50611706.0,116637
sequential-local,unbounded,1,51380753.0,118924
sequential-local,unbounded,1,52437236.0,121211
sequential-local,unbounded,1,53630135.0,123498
sequential-local,unbounded,1,54443123.0,125785
sequential-local,unbounded,1,55889315.0,128072
sequential-local,unbounded,1,56605823.0,130359
sequential-local,unbounded,1,57500195.0,132646
sequential-local,unbounded,1,58504360.0,134933
sequential-local,unbounded,1,59882584.0,137220
sequential-local,unbounded,1,60514104.0,139507
sequential-local,unbounded,1,61332243.0,141794
sequential-local,unbounded,1,62342721.0,144081
sequential-local,unbounded,1,63579771.0,146368
sequential-local,unbounded,1,64619233.0,148655
sequential-local,unbounded,1,65462608.0,150942
sequential-local,unbounded,1,66542666.0,153229
sequential-local,unbounded,1,67601965.0,155516
sequential-local,unbounded,1,68625376.0,157803
sequential-local,unbounded,1,69409862.0,160090
sequential-local,unbounded,1,70393198.0,162377
sequential-local,unbounded,1,71802783.0,164664
sequential-local,unbounded,1,72489906.0,166951
sequential-local,unbounded,1,73355733.0,169238
sequential-local,unbounded,1,74415043.0,171525
sequential-local,unbounded,1,75449353.0,173812
sequential-local,unbounded,1,75884747.0,176099
sequential-local,unbounded,1,77125736.0,178386
sequential-local,unbounded,1,78396930.0,180673
sequential-local,unbounded,1,79498939.0,182960
sequential-local,unbounded,1,80556935.0,185247
sequential-local,unbounded,1,82285615.0,187534
sequential-local,unbounded,1,82233327.0,189821
sequential-local,unbounded,1,83104455.0,192108
sequential-local,unbounded,1,84423839.0,194395
sequential-local,unbounded,1,85423828.0,196682
sequential-local,unbounded,1,86527879.0,198969
sequential-local,unbounded,1,87312044.0,201256
sequential-local,unbounded,1,87997224.0,203543
sequential-local,unbounded,1,89250625.0,205830
sequential-local,unbounded,1,90068604.0,208117
sequential-local,unbounded,1,91463580.0,210404
sequential-local,unbounded,1,92229611.0,212691
sequential-local,unbounded,1,93018143.0,214978
sequential-local,unbounded,1,93899210.0,217265
sequential-local,unbounded,1,95454385.0,219552
sequential-local,unbounded,1,96245713.0,221839
sequential-local,unbounded,1,97196399.0,224126
sequential-local,unbounded,1,98285123.0,226413
sequential-local,unbounded,1,99241229.0,228700
