group,function,value,sample_time_nanos,iteration_count
sequential-local,unbounded,1000,1157712.0,8
sequential-local,unbounded,1000,2238772.0,16
sequential-local,unbounded,1000,3164402.0,24
sequential-local,unbounded,1000,4223600.0,32
sequential-local,unbounded,1000,5275876.0,40
sequential-local,unbounded,1000,6333041.0,48
sequential-local,unbounded,1000,7386398.0,56
sequential-local,unbounded,1000,8447019.0,64
sequential-local,unbounded,1000,9498854.0,72
sequential-local,unbounded,1000,10554255.0,80
sequential-local,unbounded,1000,11850177.0,88
sequential-local,unbounded,1000,12669437.0,96
sequential-local,unbounded,1000,13721803.0,104
sequential-local,unbounded,1000,14947122.0,112
sequential-local,unbounded,1000,15827898.0,120
sequential-local,unbounded,1000,17029181.0,128
sequential-local,unbounded,1000,17933361.0,136
sequential-local,unbounded,1000,18994814.0,144
sequential-local,unbounded,1000,20228518.0,152
sequential-local,unbounded,1000,21106529.0,160
sequential-local,unbounded,1000,22327509.0,168
sequential-local,unbounded,1000,23217371.0,176
sequential-local,unbounded,1000,24267133.0,184
sequential-local,unbounded,1000,25786731.0,192
sequential-local,unbounded,1000,26375311.0,200
sequential-local,unbounded,1000,27436373.0,208
sequential-local,unbounded,1000,28887504.0,216
sequential-local,unbounded,1000,29572864.0,224
sequential-local,unbounded,1000,30771653.0,232
sequential-local,unbounded,1000,31654042.0,240
sequential-local,unbounded,1000,32803509.0,248
sequential-local,unbounded,1000,33973335.0,256
sequential-local,unbounded,1000,35298420.0,264
sequential-local,unbounded,1000,36339323.0,272
sequential-local,unbounded,1000,37411287.0,280
sequential-local,unbounded,1000,38128477.0,288
sequential-local,unbounded,1000,39296398.0,296
sequential-local,unbounded,1000,40109367.0,304
sequential-local,unbounded,1000,41307605.0,312
sequential-local,unbounded,1000,42384337.0,320
sequential-local,unbounded,1000,43709242.0,328
sequential-local,unbounded,1000,44678041.0,336
sequential-local,unbounded,1000,45549739.0,344
sequential-local,unbounded,1000,46436487.0,352
sequential-local,unbounded,1000,47729592.0,360
sequential-local,unbounded,1000,48874190.0,368
sequential-local,unbounded,1000,49591380.0,376
sequential-local,unbounded,1000,51020399.0,384
sequential-local,unbounded,1000,51894061.0,392
sequential-local,unbounded,1000,53044931.0,400
sequential-local,unbounded,1000,54119899.0,408
sequential-local,unbounded,1000,55012266.0,416
sequential-local,unbounded,1000,56022804.0,424
sequential-local,unbounded,1000,57266186.0,432
sequential-local,unbounded,1000,58621649.0,440
sequential-local,unbounded,1000,59090034.0,448
sequential-local,unbounded,1000,60290216.0,456
sequential-local,unbounded,1000,61628326.0,464
sequential-local,unbounded,1000,62255427.0,472
sequential-local,unbounded,1000,63486516.0,480
sequential-local,unbounded,1000,64740709.0,488
sequential-local,unbounded,1000,65698349.0,496
sequential-local,unbounded,1000,66658542.0,504
sequential-local,unbounded,1000,67591464.0,512
sequential-local,unbounded,1000,68590251.0,520
sequential-local,unbounded,1000,70449173.0,528
sequential-local,unbounded,1000,71053563.0,536
sequential-local,unbounded,1000,71751456.0,544
sequential-local,unbounded,1000,72947070.0,552
sequential-local,unbounded,1000,74502845.0,560
sequential-local,unbounded,1000,75083861.0,568
sequential-local,unbounded,1000,76195207.0,576
sequential-local,unbounded,1000,79198808.0,584
sequential-local,unbounded,1000,78263180.0,592
sequential-local,unbounded,1000,79511101.0,600
sequential-local,unbounded,1000,80730781.0,608
sequential-local,unbounded,1000,81251583.0,616
sequential-local,unbounded,1000,82411920.0,624
sequential-local,unbounded,1000,83694306.0,632
sequential-local,unbounded,1000,84797687.0,640
sequential-local,unbounded,1000,85611297.0,648
sequential-local,unbounded,1000,87455152.0,656
sequential-local,unbounded,1000,87570877.0,664
sequential-local,unbounded,1000,88807137.0,672
sequential-local,unbounded,1000,89874421.0,680
sequential-local,unbounded,1000,90941324.0,688
sequential-local,unbounded,1000,91860221.0,696
sequential-local,unbounded,1000,94855175.0,704
sequential-local,unbounded,1000,94068035.0,712
sequential-local,unbounded,1000,95495452.0,720
sequential-local,unbounded,1000,96414858.0,728
sequential-local,unbounded,1000,97485149.0,736
sequential-local,unbounded,1000,98931980.0,744
sequential-local,unbounded,1000,99366233.0,752
sequential-local,unbounded,1000,100636915.0,760
sequential-local,unbounded,1000,101496762.0,768
sequential-local,unbounded,1000,102449812.0,776
sequential-local,unbounded,1000,103871298.0,784
sequential-local,unbounded,1000,104703693.0,792
sequential-local,unbounded,1000,105880712.0,800
