group,function,value,sample_time_nanos,iteration_count
sequential-std,bounded,1000,1124223.0,12
sequential-std,bounded,1000,2194205.0,24
sequential-std,bounded,1000,3067729.0,36
sequential-std,bounded,1000,4085774.0,48
sequential-std,bounded,1000,5114598.0,60
sequential-std,bounded,1000,6399762.0,72
sequential-std,bounded,1000,7154174.0,84
sequential-std,bounded,1000,8174132.0,96
sequential-std,bounded,1000,9192296.0,108
sequential-std,bounded,1000,10428530.0,120
sequential-std,bounded,1000,11234376.0,132
sequential-std,bounded,1000,12259214.0,144
sequential-std,bounded,1000,13468216.0,156
sequential-std,bounded,1000,14301124.0,168
sequential-std,bounded,1000,15515124.0,180
sequential-std,bounded,1000,16345719.0,192
sequential-std,bounded,1000,17645020.0,204
sequential-std,bounded,1000,18516309.0,216
sequential-std,bounded,1000,19698070.0,228
sequential-std,bounded,1000,20432413.0,240
sequential-std,bounded,1000,21456490.0,252
sequential-std,bounded,1000,22475576.0,264
sequential-std,bounded,1000,23500062.0,276
sequential-std,bounded,1000,24521343.0,288
sequential-std,bounded,1000,25543565.0,300
sequential-std,bounded,1000,26561890.0,312
sequential-std,bounded,1000,27782154.0,324
sequential-std,bounded,1000,28820585.0,336
sequential-std,bounded,1000,30375886.0,348
sequential-std,bounded,1000,31649147.0,360
sequential-std,bounded,1000,31674584.0,372
sequential-std,bounded,1000,32696618.0,384
sequential-std,bounded,1000,33881964.0,396
sequential-std,bounded,1000,34736734.0,408
sequential-std,bounded,1000,35759887.0,420
sequential-std,bounded,1000,36959551.0,432
sequential-std,bounded,1000,38076993.0,444
sequential-std,bounded,1000,39194853.0,456
sequential-std,bounded,1000,40059050.0,468
sequential-std,bounded,1000,40867162.0,480
sequential-std,bounded,1000,42080842.0,492
sequential-std,bounded,1000,42910214.0,504
sequential-std,bounded,1000,44262564.0,516
sequential-std,bounded,1000,45142189.0,528
sequential-std,bounded,1000,46289175.0,540
sequential-std,bounded,1000,47149975.0,552
sequential-std,bounded,1000,48158953.0,564
sequential-std,bounded,1000,49310076.0,576
sequential-std,bounded,1000,50410916.0,588
sequential-std,bounded,1000,51085477.0,600
sequential-std,bounded,1000,52442947.0,612
sequential-std,bounded,1000,53124843.0,624
sequential-std,bounded,1000,54550420.0,636
sequential-std,bounded,1000,55367588.0,648
sequential-std,bounded,1000,56365836.0,660
sequential-std,bounded,1000,57214623.0,672
sequential-std,bounded,1000,58690505.0,684
sequential-std,bounded,1000,59312578.0,696
sequential-std,bounded,1000,60280048.0,708
sequential-std,bounded,1000,61394502.0,720
sequential-std,bounded,1000,62544534.0,732
sequential-std,bounded,1000,63586323.0,744
sequential-std,bounded,1000,64858012.0,756
sequential-std,bounded,1000,65386971.0,768
sequential-std,bounded,1000,66820743.0,780
sequential-std,bounded,1000,67639745.0,792
sequential-std,bounded,1000,68454160.0,804
sequential-std,bounded,1000,69900995.0,816
sequential-std,bounded,1000,71321053.0,828
sequential-std,bounded,1000,71517931.0,840
sequential-std,bounded,1000,72920575.0,852
sequential-std,bounded,1000,74060427.0,864
sequential-std,bounded,1000,74958367.0,876
sequential-std,bounded,1000,75604235.0,888
sequential-std,bounded,1000,76725272.0,900
sequential-std,bounded,1000,77854425.0,912
sequential-std,bounded,1000,79100887.0,924
sequential-std,bounded,1000,79860837.0,936
sequential-std,bounded,1000,80969262.0,948
sequential-std,bounded,1000,82091581.0,960
sequential-std,bounded,1000,83180509.0,972
sequential-std,bounded,1000,84173766.0,984
sequential-std,bounded,1000,86033375.0,996
sequential-std,bounded,1000,85918209.0,1008
sequential-std,bounded,1000,87090092.0,1020
sequential-std,bounded,1000,87957724.0,1032
sequential-std,bounded,1000,89031764.0,1044
sequential-std,bounded,1000,90419840.0,1056
sequential-std,bounded,1000,91148815.0,1068
sequential-std,bounded,1000,92360240.0,1080
sequential-std,bounded,1000,93155138.0,1092
sequential-std,bounded,1000,94413211.0,1104
sequential-std,bounded,1000,96885006.0,1116
sequential-std,bounded,1000,96134731.0,1128
sequential-std,bounded,1000,97155101.0,1140
sequential-std,bounded,1000,98680954.0,1152
sequential-std,bounded,1000,99251973.0,1164
sequential-std,bounded,1000,100481964.0,1176
sequential-std,bounded,1000,101724387.0,1188
sequential-std,bounded,1000,102349747.0,1200
