group,function,value,sample_time_nanos,iteration_count
sequential-std,unbounded,1000,1236263.0,7
sequential-std,unbounded,1000,2354896.0,14
sequential-std,unbounded,1000,3368382.0,21
sequential-std,unbounded,1000,4487907.0,28
sequential-std,unbounded,1000,5640644.0,35
sequential-std,unbounded,1000,6733127.0,42
sequential-std,unbounded,1000,7858203.0,49
sequential-std,unbounded,1000,8977386.0,56
sequential-std,unbounded,1000,10098053.0,63
sequential-std,unbounded,1000,11216555.0,70
sequential-std,unbounded,1000,12342373.0,77
sequential-std,unbounded,1000,13577182.0,84
sequential-std,unbounded,1000,14592041.0,91
sequential-std,unbounded,1000,15719712.0,98
sequential-std,unbounded,1000,16835459.0,105
sequential-std,unbounded,1000,17967185.0,112
sequential-std,unbounded,1000,19091450.0,119
sequential-std,unbounded,1000,20307345.0,126
sequential-std,unbounded,1000,21321952.0,133
sequential-std,unbounded,1000,22449793.0,140
sequential-std,unbounded,1000,23834634.0,147
sequential-std,unbounded,1000,24854632.0,154
sequential-std,unbounded,1000,25805792.0,161
sequential-std,unbounded,1000,26928031.0,168
sequential-std,unbounded,1000,28064158.0,175
sequential-std,unbounded,1000,29329133.0,182
sequential-std,unbounded,1000,30293248.0,189
sequential-std,unbounded,1000,31423402.0,196
sequential-std,unbounded,1000,32725919.0,203
sequential-std,unbounded,1000,33851485.0,210
sequential-std,unbounded,1000,34777678.0,217
sequential-std,unbounded,1000,36336163.0,224
sequential-std,unbounded,1000,37022968.0,231
sequential-std,unbounded,1000,38154756.0,238
sequential-std,unbounded,1000,39466771.0,245
sequential-std,unbounded,1000,40675783.0,252
sequential-std,unbounded,1000,41907226.0,259
sequential-std,unbounded,1000,42643174.0,266
sequential-std,unbounded,1000,43764952.0,273
sequential-std,unbounded,1000,45244991.0,280
sequential-std,unbounded,1000,45998772.0,287
sequential-std,unbounded,1000,48285219.0,294
sequential-std,unbounded,1000,48635956.0,301
sequential-std,unbounded,1000,49544415.0,308
sequential-std,unbounded,1000,50660985.0,315
sequential-std,unbounded,1000,51768066.0,322
sequential-std,unbounded,1000,53283882.0,329
sequential-std,unbounded,1000,54040077.0,336
sequential-std,unbounded,1000,54985725.0,343
sequential-std,unbounded,1000,56316275.0,350
sequential-std,unbounded,1000,57708190.0,357
sequential-std,unbounded,1000,58382170.0,364
sequential-std,unbounded,1000,59889622.0,371
sequential-std,unbounded,1000,60593948.0,378
sequential-std,unbounded,1000,61905142.0,385
sequential-std,unbounded,1000,63176520.0,392
sequential-std,unbounded,1000,63955559.0,399
sequential-std,unbounded,1000,65445175.0,406
sequential-std,unbounded,1000,66369504.0,413
sequential-std,unbounded,1000,67564870.0,420
sequential-std,unbounded,1000,68639482.0,427
sequential-std,unbounded,1000,69749438.0,434
sequential-std,unbounded,1000,70948030.0,441
sequential-std,unbounded,1000,71997413.0,448
sequential-std,unbounded,1000,73152585.0,455
sequential-std,unbounded,1000,74467015.0,462
sequential-std,unbounded,1000,75164960.0,469
sequential-std,unbounded,1000,76619592.0,476
sequential-std,unbounded,1000,77538831.0,483
sequential-std,unbounded,1000,78927430.0,490
sequential-std,unbounded,1000,79693733.0,497
sequential-std,unbounded,1000,81335624.0,504
sequential-std,unbounded,1000,82284782.0,511
sequential-std,unbounded,1000,83225351.0,518
sequential-std,unbounded,1000,84355785.0,525
sequential-std,unbounded,1000,85701202.0,532
sequential-std,unbounded,1000,86666699.0,539
sequential-std,unbounded,1000,87736441.0,546
sequential-std,unbounded,1000,89320174.0,553
sequential-std,unbounded,1000,90303703.0,560
sequential-std,unbounded,1000,91018582.0,567
sequential-std,unbounded,1000,92654342.0,574
sequential-std,unbounded,1000,93528567.0,581
sequential-std,unbounded,1000,94638635.0,588
sequential-std,unbounded,1000,95586387.0,595
sequential-std,unbounded,1000,96869348.0,602
sequential-std,unbounded,1000,98326823.0,609
sequential-std,unbounded,1000,99211920.0,616
sequential-std,unbounded,1000,100324171.0,623
sequential-std,unbounded,1000,101319083.0,630
sequential-std,unbounded,1000,102463293.0,637
sequential-std,unbounded,1000,103911923.0,644
sequential-std,unbounded,1000,104751765.0,651
sequential-std,unbounded,1000,107093737.0,658
sequential-std,unbounded,1000,107272541.0,665
sequential-std,unbounded,1000,108227668.0,672
sequential-std,unbounded,1000,109520837.0,679
sequential-std,unbounded,1000,110285778.0,686
sequential-std,unbounded,1000,112018049.0,693
sequential-std,unbounded,1000,112553481.0,700
